Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Length µm	Circularity	Solidity	Max diameter µm	Min diameter µm	Hematoxylin: Mean	Hematoxylin: Median	Hematoxylin: Min	Hematoxylin: Max	Hematoxylin: Std.Dev.	Eosin: Mean	Eosin: Median	Eosin: Min	Eosin: Max	Eosin: Std.Dev.
kwa-4 肺_Default_Extended.tif	75894642-8fff-434b-91b7-6e475eb3ef62	Detection			Annotation	Polygon	398.36	674.48	58.75	34	0.6386	0.9457	10.8167	7	0.5556	0.5556	0.2493	0.9515	0.1354	0.3168	0.1672	-0.0386	1.5721	0.3649
kwa-4 肺_Default_Extended.tif	ea61b609-b138-41a1-836c-877957676234	Detection			Annotation	Polygon	420.55	673.8	34.25	32	0.4203	0.8754	11.1803	4.505	0.5968	0.5872	0.2404	0.9984	0.1737	0.5407	0.396	0.0809	1.4345	0.3716
kwa-4 肺_Default_Extended.tif	551a62a2-67af-4fe0-9ed7-17fdcc664360	Detection			Annotation	Polygon	321.85	674.95	28.5	25	0.573	0.912	7.9057	5.3666	0.4259	0.4367	0.1877	0.6358	0.0922	0.2737	0.2336	0.0615	0.6846	0.1248
kwa-4 肺_Default_Extended.tif	49926fe4-417a-47a3-b55c-bfbf24e44084	Detection			Annotation	Polygon	428.17	676.09	69.25	38	0.6026	0.9438	11.5464	8	0.5735	0.5783	0.2514	0.9355	0.1341	0.4308	0.3406	0.1091	1.4588	0.2904
kwa-4 肺_Default_Extended.tif	3fb7e83d-dc15-4717-ae0a-c8ae731da04e	Detection			Annotation	Polygon	236.64	678.57	77	46	0.4573	0.9072	15.3379	7.7959	0.529	0.5065	0.299	0.9294	0.1269	0.3633	0.2894	0.0417	1.5413	0.2788
kwa-4 肺_Default_Extended.tif	a6125388-1acd-42da-969c-784e96df9fc9	Detection			Annotation	Polygon	262.91	677.29	100.75	46	0.5983	0.9438	13.2004	10.6066	0.3762	0.3631	0.1806	0.674	0.0873	0.1711	0.1655	0.0717	0.4129	0.0482
kwa-4 肺_Default_Extended.tif	347bc432-502b-4e22-a47d-38c7ecc8a596	Detection			Annotation	Polygon	280.21	677.41	44.75	32	0.5492	0.9251	9.6592	6.5	0.6378	0.6196	0.2225	1.1222	0.2095	0.4655	0.3351	0.0543	1.5025	0.3874
kwa-4 肺_Default_Extended.tif	bc412e8a-979b-41c6-8f42-4bc459f580bc	Detection			Annotation	Polygon	365.04	679.9	56.5	34	0.6142	0.9378	9.6156	8	0.6303	0.6035	0.3383	1.044	0.1584	0.5276	0.3663	0.1157	1.5326	0.3966
kwa-4 肺_Default_Extended.tif	7df77126-1f4f-403e-b7d5-db2672e31296	Detection			Annotation	Polygon	411.17	681.08	38.5	28	0.6171	0.9419	8.6023	6.7082	0.8158	0.8519	0.2805	1.1666	0.1896	0.9936	1.0952	0.1385	1.6407	0.4069
kwa-4 肺_Default_Extended.tif	55229854-20d1-4cc2-881f-b10a52c5050d	Detection			Annotation	Polygon	247.44	681.86	57.75	34	0.6278	0.9371	10.3166	8.3021	0.6105	0.5863	0.2865	0.9801	0.1453	0.5012	0.3225	0.1026	1.5707	0.3942
kwa-4 肺_Default_Extended.tif	ef22c1ea-8f5a-4677-8089-3c48a913eacf	Detection			Annotation	Polygon	401.11	683.35	32.75	26	0.6088	0.9357	7.6158	6	0.8678	0.9	0.4187	1.506	0.1925	0.8772	0.898	-0.1663	1.5719	0.4325
kwa-4 肺_Default_Extended.tif	1e10292f-7c22-496b-8b18-045a56a67a53	Detection			Annotation	Polygon	290.95	684.25	38	29	0.5678	0.924	9.6047	6.1664	0.7274	0.6803	0.3075	1.7056	0.2138	0.7243	0.5722	0.079	1.5813	0.4552
kwa-4 肺_Default_Extended.tif	917a2058-6342-4d0c-9ff7-765d2c26c3fb	Detection			Annotation	Polygon	422.28	683.62	26.5	24	0.5781	0.9099	7.2117	5.2923	0.6978	0.5458	0.3165	2.5412	0.3967	0.3342	0.2109	0.0392	1.5033	0.2976
kwa-4 肺_Default_Extended.tif	184134cb-1e79-4f43-8b51-ed53d6ec9685	Detection			Annotation	Polygon	457.3	684.81	41.25	31	0.5394	0.9116	8.86	6.8589	0.5094	0.4917	0.2191	0.8068	0.1132	0.43	0.3199	0.1127	1.5366	0.309
kwa-4 肺_Default_Extended.tif	62838de7-7455-410c-9095-c8d8e7b001f0	Detection			Annotation	Polygon	451.1	685.96	53	33	0.6116	0.9443	10.3078	6.5	0.6809	0.6842	0.3062	0.9878	0.1462	0.5094	0.3912	0.1227	1.5005	0.3627
kwa-4 肺_Default_Extended.tif	317a5a15-1bf0-44a2-b93e-d836ada0218d	Detection			Annotation	Polygon	443.12	688.59	31.75	26	0.5902	0.917	7.5	6	0.5979	0.5883	0.3083	0.9496	0.137	0.311	0.2219	0.0546	1.4059	0.3014
kwa-4 肺_Default_Extended.tif	a63f182d-ebd2-4aa7-a6b5-9b1287f9f383	Detection			Annotation	Polygon	355.35	689.17	41.25	30	0.576	0.9218	9.4868	5.5	1.2745	1.1025	0.1257	4.3353	0.7898	0.5791	0.6413	-1.9211	1.7333	0.6054
kwa-4 肺_Default_Extended.tif	92e7adbc-52ec-4fbe-b44d-93471cea59f0	Detection			Annotation	Polygon	291.6	691.12	54.75	39	0.4523	0.8957	14.089	5.2821	0.6267	0.634	0.2776	1.0149	0.1559	0.6297	0.4565	0.0664	1.5746	0.4569
